policy_id,country,type,gov_policy,detail,start_date,end_date,,
1,Korea,Alert,Infectious Disease Alert Level,Level 1 (Blue),1/3/2020,1/19/2020,Prevent,
2,Korea,Alert,Infectious Disease Alert Level,Level 2 (Yellow),1/20/2020,1/27/2020,Prevent,
3,Korea,Alert,Infectious Disease Alert Level,Level 3 (Orange),1/28/2020,2/22/2020,Prevent,
4,Korea,Alert,Infectious Disease Alert Level,Level 4 (Red),2/23/2020,,Prevent,
5,Korea,Immigration,Special Immigration Procedure,from China,2/4/2020,,Prevent,
6,Korea,Immigration,Special Immigration Procedure,from Hong Kong,2/12/2020,,Prevent,
7,Korea,Immigration,Special Immigration Procedure,from Macau,2/12/2020,,Prevent,
8,Korea,Immigration,Special Immigration Procedure,from Japan,3/9/2020,,Prevent,
9,Korea,Immigration,Special Immigration Procedure,from Italy,3/12/2020,,Prevent,
10,Korea,Immigration,Special Immigration Procedure,from Iran,3/12/2020,,Prevent,
11,Korea,Immigration,Special Immigration Procedure,from France,3/15/2020,,Prevent,
12,Korea,Immigration,Special Immigration Procedure,from Germany,3/15/2020,,Prevent,
13,Korea,Immigration,Special Immigration Procedure,from Spain,3/15/2020,,Prevent,
14,Korea,Immigration,Special Immigration Procedure,from U.K.,3/15/2020,,Prevent,
15,Korea,Immigration,Special Immigration Procedure,from Netherlands,3/15/2020,,Prevent,
16,Korea,Immigration,Special Immigration Procedure,from Europe,3/16/2020,,Prevent,
17,Korea,Immigration,Special Immigration Procedure,from all the countries,3/19/2020,,Prevent,
18,Korea,Immigration,Mandatory 14-day Self-Quarantine,from all the countries,4/1/2020,,Contain,
19,Korea,Immigration,Mandatory Self-Quarantine & Diagonostic Tests,from U.S.,4/13/2020,,Detect,
20,Korea,Health,Emergency Use Authorization of Diagnostic Kit,1st EUA,2/4/2020,,Detect,
21,Korea,Health,Emergency Use Authorization of Diagnostic Kit,2nd EUA,2/12/2020,,Detect,
22,Korea,Health,Emergency Use Authorization of Diagnostic Kit,3rd EUA,2/27/2020,,Detect,
23,Korea,Health,Emergency Use Authorization of Diagnostic Kit,4th EUA,2/27/2020,,Detect,
24,Korea,Health,Emergency Use Authorization of Diagnostic Kit,5th EUA,3/13/2020,,Detect,
25,Korea,Health,Drive-Through Screening Center,by Local Government,2/26/2020,,Detect,
26,Korea,Health,Drive-Through Screening Center,Standard Operating Procedures,3/4/2020,,Detect,
27,Korea,Health,Mask Distribution,Public-Sale,2/27/2020,,Prevent,
28,Korea,Health,Mask Distribution,5-day Rotation System,3/9/2020,,Prevent,
29,Korea,Social,Social Distancing Campaign,Strong,2/29/2020,3/21/2020,Prevent,
30,Korea,Social,Social Distancing Campaign,Strong,3/22/2020,4/19/2020,Prevent,
31,Korea,Social,Social Distancing Campaign,Weak,4/20/2020,5/5/2020,Prevent,
32,Korea,Social,Social Distancing Campaign,Weak(1st),5/6/2020,,Prevent,
33,Korea,Social,Thanks to Challenge korea,Relay Cheer Campaign in SNS,4/16/2020,,Prevent,
34,Korea,Education,School Closure,Daycare Center for Children,3/2/2020,,Prevent,
35,Korea,Education,School Opening Delay,Kindergarten,3/2/2020,4/6/2020,Open,
36,Korea,Education,School Opening Delay,High School,3/2/2020,4/6/2020,Prevent,
37,Korea,Education,School Opening Delay,Middle School,3/2/2020,4/6/2020,Prevent,
38,Korea,Education,School Opening Delay,Elementary School,3/2/2020,4/6/2020,Prevent,
39,Korea,Education,School Opening with Online Class,High School (3rd grade),4/9/2020,5/20/2020,Prevent,
